teff_gspphot,phot_g_mean_flux,distance_pc,radius_gspphot
5141.9375,16675.413137976346,882.0301002375096,0.9888
4328.0376,3892.7681526837055,804.4982061337578,0.7889
3404.847,699.0054190966564,436.1879272657771,0.8775
3457.8865,2435.055991325692,277.7311408539289,0.4262
5312.759,47547.754759278025,1022.0247198973201,1.7801
5099.73,5650.013308314198,1417.2862806597527,0.6423
4470.75,7980.843249265818,725.0187751218036,0.6995
5556.1245,19893.675354491475,773.0223655371666,0.7835
5548.766,22737.27913237381,1306.2170338650214,1.2387
5341.116,83828.73145553496,510.63252399677987,1.1094
6891.0205,12567404.288033975,130.27898471235005,2.055
4244.2217,3621.202402894296,768.7493440160871,0.6456
4299.5034,3186.0922061392675,722.4455434518973,0.6236
4148.4907,2589.99304124008,828.0988955558519,0.9339
5670.4717,8730.086803615155,1877.1461890700746,0.8262
3406.2134,1079.6917166749704,428.87689152007664,0.509
3253.4124,871.2887156874169,316.361934067764,0.2863
6311.998,18058.00333889117,1566.3883889610836,0.9959
5958.4478,88413.03305175388,709.4913452943216,1.4347
5843.263,609719.32605639,221.33916874638462,1.0417
5420.764,70201.45752306002,814.5540422116896,1.6468
4177.85,2319.8232449844127,596.6052952568015,0.825
5385.402,10182.626743567036,2239.28557551204,1.0537
5529.5205,29879.30316695656,1246.8026254832616,1.382
7047.3647,502263.0256938024,631.71299736513,1.9469
3897.0645,2074.8687912407577,745.7229999346879,0.4556
4896.407,5340.7409539546825,1227.1437621333785,0.5995
3534.1697,1588.5378278206456,420.88018972358043,0.7742
5429.455,30793.89610111895,615.9800922635526,0.8159
5648.4624,13007.570119208,1572.6170681017104,0.8691
6165.753,19506.149884846072,3446.681229592371,1.8248
5773.6606,22366.08350891321,1041.1847127514877,0.9104
4827.4067,4239.121784948311,1109.347311945333,0.4904
5193.194,13617.603655144076,1192.38216204445,1.0282
5618.476,39185.720504810575,1070.2526672119814,1.6432
5001.247,5613.188659239753,1347.431182879061,0.8133
6287.6055,350930.9234718124,324.0176863362674,1.0821
4221.5005,2408.9007536094628,1071.1463534834486,0.6499
3628.2893,2142.688092172586,560.3109613833816,0.5093
