source_id,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,radius_gspphot
139140933049057408,0.5531565104908083,0.045755565,12.089382,0.94915164,15.86435,16.299698,15.26126,1.0384378,5844.0107,0.8597
139148286033180800,0.7691665767510978,0.04694811,16.383335,0.96169716,16.199087,16.745272,15.516094,1.2291775,5244.9673,0.7048
139149626062833408,1.1596102550921141,0.051376663,22.570759,0.9881513,15.991044,16.615263,15.233133,1.3821297,5024.628,0.679
139156188773004672,0.607384920605971,0.03430271,17.706615,0.99285954,15.246829,15.866071,14.48606,1.3800106,5259.462,1.9951
139160105783174016,1.2004978568861724,0.07153774,16.78132,1.035501,16.806925,17.658667,15.897253,1.7614136,4298.328,0.7865
139160380661074560,0.5304743739607153,0.034295026,15.467968,0.98658985,15.542164,15.967488,14.940185,1.0273037,6034.3047,1.1849
139163988433572736,1.0731600457920778,0.06805382,15.769284,1.1249274,16.39199,16.979574,15.657775,1.3217993,4483.356,0.842
139166805932103808,1.1764278236380916,0.03889369,30.247269,1.1131603,15.02249,15.514776,14.356394,1.1583824,5667.4033,0.823
139174223338851584,0.6287264524960037,0.05936483,10.590891,1.023749,16.510386,17.045319,15.827214,1.2181044,5237.7163,0.6634
139174601295981056,2.491566979363459,0.1374069,18.132765,0.90165263,18.125917,19.615068,16.91805,2.6970177,3479.5874,0.4154
139177457450897920,0.9730035934538037,0.07014802,13.870721,1.0290229,16.677706,17.409842,15.856079,1.5537624,4678.762,0.8072
139178144645661568,0.6695672648180643,0.060391992,11.087021,0.9237034,16.415462,16.88878,15.777325,1.1114559,4789.4478,0.807
139184638636303360,1.0232371270234355,0.01753106,58.3671,1.0055001,13.055255,13.484538,12.45191,1.032628,6252.729,2.0935
139185909946520704,0.611821131276929,0.041079074,14.893743,1.0707295,14.779444,15.1345,14.255608,0.87889194,6389.5527,1.2887
139185940009731584,0.8738343738211635,0.086616576,10.088535,1.1781186,16.388138,16.890606,15.7137375,1.1768684,4851.887,0.5301
139187902811447424,1.4215581959760122,0.028991833,49.03306,0.9799875,14.481872,14.963696,13.835522,1.1281738,5380.933,1.0357
139209068410998144,3.831916049462159,0.02127268,180.13321,1.0759094,13.287548,13.821269,12.601127,1.2201424,5004.68,0.778
139211267434603776,0.43648362985863715,0.041402392,10.542474,1.0262686,15.584133,16.160715,14.857158,1.3035574,5202.4478,1.4386
139216455754722688,1.1380727038799092,0.0259587,43.841667,0.9733216,14.472506,14.921923,13.850331,1.0715914,5877.0977,1.1659
139217142949498112,0.8051764174673706,0.047499157,16.951384,1.0032688,15.889924,16.40021,15.211262,1.1889477,5483.207,0.7709
139217864503984896,1.0730667078527352,0.034816306,30.820808,1.0687078,15.194289,15.710132,14.522217,1.1879148,5177.222,1.0186
139218586058485376,1.0251588524521706,0.037049737,27.669802,0.99472463,15.350371,15.866277,14.671482,1.1947947,5294.355,1.0136
