source_id,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radius_gspphot
139140177134831104,0.6053674062501949,0.02508322,24.13436,0.9851356,14.255355,14.661521,13.67764,0.983881,1.8006
139144265944172544,0.9598216905558323,0.093162976,10.3026085,0.9607608,17.11623,17.779661,16.369387,1.4102745,0.5397
139145502894259712,1.111425417735676,0.04333782,25.645624,1.0107219,15.63686,16.124418,14.980765,1.1436529,0.7041
139150107099192320,9.052148070757267,0.035163593,257.42957,1.1877656,14.876351,16.274458,13.717105,2.557353,0.4916
139153680510270720,0.5815825095044689,0.028855061,20.155302,0.907145,14.966527,15.5995865,14.056119,1.5434675,2.6075
139159276852619392,1.3887207790241338,0.015826043,87.749084,1.0453643,12.377047,12.740844,11.84039,0.90045357,2.1355
139163095080391168,1.0421826329563502,0.06833489,15.251105,0.94193166,16.623043,17.224968,15.879942,1.345026,0.8154
139165637701005568,0.7881459649239941,0.07483663,10.531554,1.079715,16.586893,17.01322,15.961268,1.0519514,0.5286
139169863948823424,1.1104079786976508,0.046418246,23.9218,1.0067332,15.820707,16.396616,15.0945,1.3021164,0.7495
139170070107246592,0.7895321581518673,0.044835106,17.609686,1.0141233,15.15499,15.590392,14.552379,1.0380135,0.9684
139172681447404672,0.9726409560253868,0.057056356,17.047022,0.91042125,16.34761,17.013132,15.56315,1.4499817,0.8434
139173506080988928,0.6780215768180062,0.06724807,10.082395,0.8957896,16.546135,17.106022,15.836266,1.2697563,0.9217
139174090196668672,0.5410164779169548,0.043532822,12.427784,1.1086104,16.007315,16.497477,15.35668,1.1407967,0.9317
139177457450897024,2.1144755096233054,0.041673187,50.73947,0.92402315,15.696749,16.532148,14.802397,1.7297516,0.7616
139178282084614016,5.26355522077783,0.04124404,127.619774,1.0105721,15.560614,16.653063,14.488748,2.1643152,0.4842
139181374461167744,0.8736397592169641,0.040794782,21.41548,1.0597453,15.3153715,15.830762,14.636258,1.1945038,0.9091
139181748121597440,3.361717902885969,0.22777745,14.758782,0.9381698,18.447823,20.158222,17.186039,2.9721832,0.3129
139182989368867584,0.613332361877399,0.05818971,10.54022,0.8785918,15.963561,16.40034,15.355449,1.0448904,0.7989
139185188392016384,0.37231948898084294,0.032208625,11.559621,1.0817842,14.479786,14.937569,13.850182,1.0873871,2.1418
139185738147829120,1.1147682030502348,0.0864409,12.896306,1.0077995,16.625214,17.444487,15.765006,1.6794806,0.7614
139187078177623424,0.5246727968321052,0.040868595,12.838043,0.99193627,15.084443,15.403905,14.592699,0.81120586,1.047
139211572374953088,4.3205812196702205,0.018690255,231.1676,0.9288876,11.942552,12.350379,11.367097,0.9832821,0.9497
139211748470414592,1.4744676086650839,0.118388854,12.454447,0.94288146,17.236565,18.394175,16.19622,2.1979542,0.6263
139212779262565120,0.8657255209942214,0.050249957,17.228384,1.0176368,15.529239,15.962782,14.782229,1.1805525,0.7716
