temperature_K,radius_m,distance_m,flux_proxy,logT,logR,logD,logF
3664.2622,391887810.0,2.2361334730670514e+19,2048.637826266968,3.563986542490066,8.593161754593,19.349497722687765,3.3114651873146204
6615.423,1007095320.0,5.8290827934992695e+19,16009.473945782627,3.8205576188474026,9.003070577793812,19.765600223874003,4.204377061700857
4584.516,584874990.0,3.3306244056800702e+19,3531.3373443243304,3.6612934927596994,8.767063050774812,19.522525660089055,3.5479392071639264
5319.4067,969944940.0,4.1023938704628605e+19,13661.939605820877,3.725863195963278,8.986747081758137,19.613037354607876,4.135512361154203
4106.0327,478432890.0,2.382168498494885e+19,4163.615861583338,3.6134224037225926,8.679821027699672,19.37697247728883,3.6194706543422686
5527.872,478085040.0,4.785477662902267e+19,5674.11096591088,3.7425579782269818,8.679505154180836,19.679925293420947,3.753897824835149
4802.8184,625364730.0,2.8688512488575627e+19,6997.792166300828,3.6814961657834684,8.796133383785206,19.45770803047844,3.8449610398375045
5645.567,740642220.0,2.9771797595022733e+19,21649.211973484587,3.751707565854484,8.869608465194386,19.47380505775825,4.335442092754243
7421.3584,1034992890.0,7.662109864008522e+19,13047.174686536488,3.8704834054986113,9.014937366368422,19.8843483748711,4.115516477123328
3369.6943,267983640.0,1.444612895452752e+19,824.9692937015466,3.5275905032911816,8.428108281810147,19.159751487306064,2.9164377839145823
7121.7974,917141310.0,5.360060283314789e+19,16690.237970326994,3.852589614758965,8.962436255435717,19.729169674126304,4.222462528917898
5037.864,429873030.0,2.7969557580766044e+19,5563.925427431663,3.7022464392941377,8.633340198572228,19.446685596805864,3.7453813005666
3100.5918,187978140.0,1.0266180156004104e+19,511.0250689581888,3.491444594139102,8.274107348043662,19.011408881205863,2.70844220550293
5206.3594,478224180.0,2.282650625492055e+19,11925.003329625748,3.7165341445740827,8.679631531158856,19.358439444984732,4.07645850897319
4837.35,616877190.0,2.986353843624489e+19,6792.587090050175,3.6846075113226178,8.790198711822388,19.475141264617786,3.8320352153616617
5205.2393,4566783510.0,1.2577039459785528e+20,37869.375307200586,3.7164407000868196,9.659610424210266,20.09957842349445,4.578288141062909
3373.5833,294489810.0,6.733453236782924e+18,2602.805492516228,3.528091438156262,8.46907027183166,18.82823784833234,3.415441714523695
5034.8887,22724136090.0,1.221338283700171e+20,153920.97014054903,3.7019898745897173,10.35648738150995,20.086835970575805,5.187297791994669
7197.9443,786210570.0000001,5.971911815337752e+19,9276.80834538314,3.8572084816199994,8.895538878280579,19.77611338605986,3.96739858436482
6833.8213,1185890220.0,5.335299294169387e+19,23164.846394428016,3.834663618091861,9.07404448746423,19.72715878705203,4.364829424751845
6264.9097,833587740.0,1.833184151773658e+19,102004.0897491718,3.796914815621575,8.920951318611996,19.26320609403042,5.008617584702022
5953.589,642826800.0,4.686941701978419e+19,6795.534683331669,3.774778850264849,8.808093974577757,19.67088955162848,3.8322236333841784
3733.2805,401140620.0,2.581767332743725e+19,1461.0409174867575,3.5720906218645854,8.60329664140984,19.411917101346944,3.164662378829489
5969.5176,513913590.0,3.876425350827461e+19,7332.277835426489,3.77593923697143,8.710890102378636,19.588431425082035,3.8652389129331817
5480.5347,737789850.0,6.023227711831663e+19,8019.650077528951,3.7388229318294686,8.86793267621023,19.779829282251196,3.904155419067995
7212.964,1417001760.0,9.99042884729359e+19,21353.081898689,3.8581137646258954,9.15137038966723,19.999584131070403,4.329460565777912
4491.5005,594614790.0,2.27931220070803e+19,7616.847006144902,3.6523914523633145,8.77423570731679,19.357803815201674,3.8817752323356274
4906.018,564838830.0,2.5711443964732047e+19,8136.239463168341,3.6907291372838062,8.751924544763066,19.41012646747544,3.9104237221175158
5861.0454,763322040.0,5.4656006292361314e+19,11336.422617487327,3.7679750854650713,8.882707802290142,19.737637894671753,4.054476027872917
6423.1255,984485070.0,2.402692393517647e+19,79384.56873125487,3.8077464076789,8.993209134323013,19.380698173488415,4.8997360897547635
6339.9683,1120007430.0,3.033817345038316e+19,52066.359302819306,3.8020870864038945,9.049220903739197,19.481989429967566,4.71655721105433
5083.2163,623903760.0,4.733106961192738e+19,4361.96477647484,3.706138590107542,8.795117602944567,19.67514631898963,3.6396821542632285
4969.4917,5941138860.0,1.131092926113498e+20,42411.46862373478,3.6963119695835394,9.773869703096599,20.053498286305185,4.627483311463264
7789.3794,967996980.0,6.534907448458024e+19,12080.788712817925,3.89150285768643,8.985874002379282,19.815239441203694,4.082095288791981
5940.9927,1199525940.0,1.8879167677006467e+19,154994.18605162503,3.7738590187372885,9.079009644114645,19.275982843709336,5.190315407763495
4885.2163,484694190.0,1.3940552687384627e+19,25144.171231710858,3.6888837974952806,8.685467813892219,19.144279992149595,4.400437325563371
5709.292,492903450.0,4.972254451587595e+19,5411.002370081938,3.7565822554336803,8.692761857941129,19.696553345249736,3.733277724158655
6048.417,924098310.0,5.315811963601637e+19,15081.14269295029,3.7816417253760757,8.965718176002964,19.725569610228835,4.178434249122709
3300.5325,190134810.0,1.530598937138444e+19,584.479734552253,3.51858401356122,8.27906163505031,19.184861407415575,2.766769457628384
5680.5044,494851410.00000006,2.9603607332357456e+19,10691.25086238452,3.754386900572068,8.6944748120555,19.47134463501441,4.02902852006852
7363.576,989702820.0,6.251993678704739e+19,13580.573319395704,3.8670887735634127,8.995504807719481,19.796018530238857,4.132918104568501
5609.529,499512600.0,5.0956687567723405e+19,5254.888908107001,3.7489263975684084,8.69854644759995,19.707201188993395,3.720563539183273
3395.4634,217197540.0,1.2764934877319709e+19,827.3034143998802,3.530899053529401,8.336854902084049,19.106018603512158,2.9176648167267065
5088.387,701335170.0,3.6803796171982488e+19,11716.139890363218,3.706580134396044,8.845925618100186,19.565892616812516,4.068784548503767
5831.4927,608737500.0,5.092197597713959e+19,7886.887918635275,3.7657797363021244,8.784430056379962,19.706905247678357,3.896905669066916
4433.358,529566840.0,1.973458265504131e+19,6887.403557957548,3.646732802616014,8.723920782972632,19.295227946412854,3.838055530619899
6715.227,2190898440.0,3.454022948167201e+19,177497.4193660436,3.827060698044362,9.340622246127632,19.53832521864814,5.249192043232046
7104.81,866355210.0,5.090877956701428e+19,7857.309191352012,3.8515524683219136,8.937695991455831,19.706792685847702,3.895273843313659
6146.685,819812879.9999999,3.643286496497775e+19,7772.447419535587,3.7886409573428983,8.913714737192224,19.561493324125745,3.8905577927309527
4504.249,473423850.0,1.882860879444617e+19,4968.2844851816135,3.653622390799086,8.675250132897004,19.274818232113535,3.6962064556884973
4966.535,603102330.0,4.4320218726106735e+19,4893.570318679467,3.6960535003641386,8.780391006309102,19.64660189502603,3.6896258333404868
5817.7686,737789850.0,4.962026885013198e+18,1148001.0900820713,3.7647564433218896,8.86793267621023,18.695659113015846,6.059942300445582
4858.4443,619938270.0,1.9957220916208742e+19,24623.524954737022,3.686497228092655,8.792348447025562,19.30010006476769,4.391350224014107
7202.7827,1126129590.0,3.4723591663354585e+19,67783.65948159691,3.8575003127893988,9.051588370074427,19.540624640435944,4.831125011679912
3425.8254,215527860.0,1.464944779606073e+19,639.321356277975,3.5347652250192114,8.333503416780838,19.16582125447555,2.8057192121122068
5338.721,743007600.0,5.2552800241635205e+19,7062.510621077465,3.7274372253481687,8.870993256050188,19.720595862078614,3.8489591139491752
4732.642,611102880.0,3.878262073602203e+19,2881.8412184914964,3.675103653569007,8.786114330463667,19.588637153188692,3.4596700487081464
6015.2207,1549810890.0,6.782719165087829e+19,23363.31913763618,3.7792515663448203,9.190278708208975,19.83140383570315,4.36853454138395
4502.202,634895820.0,3.3294708346926825e+19,3444.755260541368,3.653424976563498,8.802702467794292,19.522375214937377,3.537158372028244
4995.745,404410410.0,4.421882521857385e+19,2650.1617036401,3.6986002623843954,8.606822326314038,19.645607200299047,3.423272373882488
4673.479,18392707890.0,5.756360964174738e+19,381701.9568690963,3.6696402955536915,10.264645673507228,19.760148019426143,5.58172438644968
5862.0815,1117989900.0,4.016125120701693e+19,22105.12030185595,3.7680518521021145,9.048437880120995,19.60380723461103,4.344492882792674
9023.731,867885750.0,5.987613038627604e+19,25860.78005547189,3.9553861403896096,8.938462557653077,19.777253725435365,4.412641620647919
6222.8374,1035897300.0,2.728958345834832e+19,62271.67058954521,3.7939884532092276,9.015316701109827,19.435996906753758,4.794290516887112
4343.4043,393905340.0,2.4874110306936504e+19,2180.423884693236,3.637830256966816,8.595391868386734,19.395747555922362,3.3385409307092
4492.038,456448770.0,2.06130877212688e+19,4002.907684649222,3.652443421480896,8.65939204111495,19.314143051452582,3.6023755744893826
4161.1177,332892450.0,2.347402672583305e+19,1741.753151018342,3.619210000276865,8.522303945470512,19.370587594703316,3.2409866048926355
5107.2695,3697367220.000001,8.171743568919881e+19,16219.181356822188,3.7081887752776623,9.567892586548108,19.912314729919487,4.210028929949912
7565.981,1082300490.0,2.659483422575009e+19,54832.24381622687,3.878865246340083,9.034347855069086,19.424797287566307,4.739036018217367
5779.1245,1516626000.0,4.295257541616452e+19,17059.249590138686,3.7618620505973017,9.180878496962254,19.63298920904028,4.231959923312763
5005.6475,818351909.9999999,2.7278357220166398e+19,19442.393471337924,3.6994602631317655,8.912940100377519,19.435818212329774,4.288749728049595
10006.524,1752955290.0,8.560633492629032e+19,23725.655893017145,4.000283241336713,9.24377083933743,19.93250590394973,4.375218227286083
5179.505,8281404090.0,8.124538429404732e+19,133533.55982345782,3.7142882566485684,9.918103976500117,19.909798697250096,5.125590426857924
